0, 92.40
137.07, 6.18, 21.70, 93.81
137.58, 6.17, 21.60, 93.32
138.10, 6.17, 21.80, 94.18
138.62, 6.17, 21.90, 94.56
139.13, 6.17, 21.80, 94.18
139.65, 6.17, 21.50, 92.83
140.17, 6.17, 21.90, 94.62
140.68, 6.17, 21.80, 94.18
141.20, 6.17, 21.90, 94.62
141.72, 6.17, 21.70, 93.75
142.24, 6.17, 21.90, 94.56
142.75, 6.17, 21.50, 92.83
143.27, 6.17, 21.70, 93.69
143.79, 6.17, 21.70, 93.69
144.30, 6.17, 21.90, 94.62
144.82, 6.17, 21.60, 93.32
145.34, 6.17, 21.70, 93.69
145.85, 6.17, 21.90, 94.56
146.37, 6.17, 21.90, 94.62
146.89, 6.17, 22.30, 96.34
147.41, 6.17, 21.90, 94.62
147.92, 6.17, 21.90, 94.56
148.44, 6.17, 21.60, 93.26
148.96, 6.17, 21.90, 94.56
149.47, 6.17, 21.90, 94.56
149.99, 6.17, 21.80, 94.12
150.51, 6.17, 21.70, 93.75
151.02, 6.17, 21.70, 93.69
151.54, 6.17, 21.90, 94.62
152.06, 6.17, 21.70, 93.75
152.58, 6.17, 22.00, 95.05
153.09, 6.17, 21.90, 94.62
153.61, 6.17, 21.80, 94.18
154.13, 6.17, 21.90, 94.62
154.64, 6.17, 21.80, 94.18
155.16, 6.17, 21.90, 94.62
155.68, 6.17, 21.80, 94.18
156.20, 6.17, 21.80, 94.18
156.71, 6.17, 22.00, 94.99
157.23, 6.17, 21.80, 94.12
157.75, 6.17, 21.60, 93.26
158.26, 6.17, 21.60, 93.32
158.78, 6.17, 21.70, 93.69
159.30, 6.17, 21.80, 94.12
159.81, 6.17, 21.70, 93.69
160.33, 6.17, 21.60, 93.26
160.85, 6.16, 21.60, 93.20
161.37, 6.17, 21.80, 94.12
161.88, 6.16, 21.70, 93.63
162.40, 6.17, 21.50, 92.83
162.92, 6.16, 21.50, 92.77
163.43, 6.16, 21.70, 93.63
163.95, 6.16, 21.60, 93.20
164.47, 6.16, 21.70, 93.63
164.98, 6.16, 21.80, 94.06
165.50, 6.17, 21.80, 94.12
166.02, 6.17, 21.90, 94.56
166.54, 6.16, 21.80, 94.06
167.05, 6.17, 21.80, 94.12
167.57, 6.17, 21.80, 94.12
168.09, 6.17, 21.90, 94.56
168.60, 6.17, 21.80, 94.12
169.12, 6.17, 21.80, 94.12
169.64, 6.17, 21.70, 93.69
170.15, 6.17, 21.90, 94.56
170.67, 6.17, 21.90, 94.56
171.19, 6.17, 22.00, 94.99
171.71, 6.17, 21.80, 94.12
172.22, 6.17, 21.80, 94.12
172.74, 6.17, 21.90, 94.56
173.26, 6.17, 21.90, 94.56
173.77, 6.17, 21.90, 94.56
174.29, 6.17, 22.00, 95.05
174.81, 6.17, 21.90, 94.56
175.32, 6.17, 21.70, 93.75
175.84, 6.17, 21.70, 93.75
176.36, 6.17, 21.60, 93.32
176.87, 6.17, 21.70, 93.75
177.39, 6.17, 21.70, 93.75
177.91, 6.17, 21.80, 94.18
178.43, 6.17, 22.00, 95.05
178.94, 6.17, 21.70, 93.75
179.46, 6.18, 21.90, 94.68
179.98, 6.17, 21.80, 94.18
180.49, 6.18, 21.60, 93.38
181.01, 6.18, 21.90, 94.68
181.53, 6.17, 21.70, 93.75
182.04, 6.18, 21.40, 92.52
182.56, 6.18, 21.70, 93.81
183.08, 6.17, 21.80, 94.18
183.60, 6.18, 21.80, 94.25
184.11, 6.18, 21.90, 94.68
184.63, 6.18, 22.20, 95.98
185.15, 6.18, 21.70, 93.81
185.66, 6.18, 21.80, 94.25
186.18, 6.18, 21.80, 94.25
186.70, 6.18, 21.70, 93.81
187.21, 6.18, 21.80, 94.25
187.73, 6.18, 21.70, 93.81
188.25, 6.18, 21.60, 93.38
188.77, 6.18, 22.00, 95.17
189.28, 6.18, 21.90, 94.74
189.80, 6.18, 21.80, 94.25
190.32, 6.18, 21.80, 94.31
190.83, 6.18, 21.50, 93.01
191.35, 6.18, 21.60, 93.44
191.87, 6.18, 21.90, 94.74
192.38, 6.18, 22.00, 95.11
192.90, 6.18, 21.60, 93.44
193.42, 6.18, 21.70, 93.87
193.94, 6.18, 21.70, 93.87
194.45, 6.18, 21.70, 93.87
194.97, 6.18, 21.70, 93.87
195.49, 6.18, 21.70, 93.81
196.00, 6.18, 21.60, 93.44
196.52, 6.18, 21.60, 93.44
197.04, 6.18, 21.80, 94.25
197.55, 6.18, 21.80, 94.31
198.07, 6.18, 21.90, 94.74
198.59, 6.18, 21.50, 93.01
199.11, 6.18, 21.60, 93.44
199.62, 6.18, 21.70, 93.81
200.14, 6.18, 21.80, 94.25
200.66, 6.17, 21.30, 92.02
201.17, 6.17, 21.10, 91.16
201.69, 6.17, 20.80, 89.81
202.21, 6.17, 21.20, 91.59
202.73, 6.17, 21.30, 92.02
203.24, 6.18, 21.50, 92.95
203.76, 6.18, 21.50, 92.95
204.28, 6.18, 21.40, 92.52
204.79, 6.18, 21.50, 93.01
205.31, 6.18, 21.50, 92.95
205.83, 6.18, 21.50, 92.95
206.34, 6.18, 21.60, 93.44
206.86, 6.18, 21.70, 93.87
207.38, 6.18, 21.50, 92.95
207.90, 6.18, 21.40, 92.52
208.41, 6.18, 21.40, 92.52
208.93, 6.18, 21.40, 92.52
209.45, 6.18, 21.70, 93.81
209.96, 6.18, 21.20, 91.65
210.48, 6.18, 21.50, 93.01
211.00, 6.18, 21.40, 92.52
211.51, 6.18, 21.40, 92.52
212.03, 6.17, 21.60, 93.32
212.55, 6.17, 21.60, 93.32
213.07, 6.18, 21.30, 92.08
213.58, 6.18, 21.10, 91.22
214.10, 6.17, 21.20, 91.59
214.62, 6.17, 21.40, 92.46
215.13, 6.17, 21.00, 90.73
215.65, 6.16, 20.90, 90.18
216.17, 6.16, 20.50, 88.40
